"Kobe Bean Bryant","Los Angeles Lakers",25244493
"Kevin Maurice Garnett","Boston Celtics",21247044
"Timothy Theodore Duncan","San Antonio Spurs",21164619
"Rashard Quovon Lewis","Washington Wizards",21136631
"Dirk Werner Nowitzki","Dallas Mavericks",19092873
"Pau Gasol","Los Angeles Lakers",18714150
"Carmelo Kyam Anthony","New York Knicks",18518574
"Vincent Lamar Carter Jr.","Phoenix Suns",18300000
"Amar'e Carsares Stoudemire","New York Knicks",18217705
"Dwight David Howard","Orlando Magic",18091770
"Joe Marcus Johnson","Atlanta Hawks",18038573
"Elton Tyron Brand","Philadelphia 76ers",17059727
"Christopher Emmanuel Paul","Los Angeles Clippers",16359805
"Deron Michael Williams","New Jersey Nets",16359805
"Christopher Wesson Bosh","Miami Heat",16022500
"LeBron Raymone James","Miami Heat",16022500
"Dwyane Tyrone Wade","Miami Heat",15691000
"Kevin Wayne Durant","Oklahoma City Thunder",15506632
"Paul Anthony Pierce","Boston Celtics",15333334
"Zachary Randolph","Memphis Grizzlies",15200000
"Antawn Cortez Jamison","Cleveland Cavaliers",15076715
"Rudy Carlton Gay Jr.","Memphis Grizzlies",15032144
"Andrew Bynum","Los Angeles Lakers",14900000
"Christopher Zane Kaman","New Orleans Hornets",14030000
"Al Jefferson","Utah Jazz",14000000
"Andre Tyler Iguodala","Philadelphia 76ers",13531750
"Carlos Austin Boozer Jr.","Chicago Bulls",13500000
"Tyson Cleotis Chandler","New York Knicks",13107837
"Nene Hilario","Denver Nuggets",13000000
"Emanuel David Ginobili","San Antonio Spurs",12981038
"Marc Gasol","Memphis Grizzlies",12922194
"Chukwuemeka Noubuisi Okafor","New Orleans Hornets",12541812
"Richard Clay Hamilton","Detroit Pistons",12500000
"William Anthony Parker","San Antonio Spurs",12500000
"Joshua Smith","Atlanta Hawks",12400000
"LaMarcus Nurae Aldridge","Portland Trail Blazers",12372000
"Luol Ajou Deng","Chicago Bulls",12325000
